gene_id,total_unsp,total_sp,total
WBGene00000001,3,168,171
WBGene00000002,14,164,178
WBGene00000003,1,114,115
WBGene00000004,36,361,397
WBGene00000005,1,3,4
WBGene00000006,138,967,1105
WBGene00000007,3,11,14
WBGene00000008,12,5,17
WBGene00000009,3,17,20
WBGene00000010,5,80,85
WBGene00000012,7,9,16
WBGene00000013,0,35,35
WBGene00000014,1,3,4
WBGene00000015,0,7,7
WBGene00000016,67,1375,1442
WBGene00000017,3,518,521
WBGene00000018,67,306,373
WBGene00000019,0,0,0
WBGene00000020,50,149,199
WBGene00000022,5,59,64
WBGene00000023,1,2,3
WBGene00000024,0,0,0
WBGene00000025,0,2,2
WBGene00000027,0,2,2
WBGene00000028,0,0,0
WBGene00000029,0,0,0
WBGene00000030,0,0,0
WBGene00000031,22,23,45
WBGene00000032,0,0,0
WBGene00000033,0,2,2
WBGene00000034,0,5,5
WBGene00000035,239,259,498
WBGene00000036,26,69,95
WBGene00000037,18,339,357
WBGene00000038,17,38,55
WBGene00000039,9,319,328
WBGene00000040,12,1524,1536
WBGene00000041,141,6864,7005
WBGene00000042,14,50,64
WBGene00000043,21,49,70
WBGene00000044,9,41,50
WBGene00000045,4,11,15
WBGene00000046,23,40,63
WBGene00000047,72,291,363
WBGene00000048,0,11,11
WBGene00000049,0,0,0
WBGene00000050,1,4,5
WBGene00000051,13,60,73
WBGene00000053,3,12,15
WBGene00000054,35,123,158
WBGene00000055,6,69,75
WBGene00000056,10,37,47
WBGene00000057,24,34,58
WBGene00000058,24,36,60
WBGene00000059,12,28,40
WBGene00000060,5,8,13
WBGene00000061,5,30,35
WBGene00000062,14,21,35
WBGene00000063,105,50871,50976
WBGene00000064,186,4516,4702
WBGene00000065,124,43773,43897
WBGene00000066,398,62938,63336
WBGene00000067,50,668,718
WBGene00000068,747,414,1161
WBGene00000069,12,31,43
WBGene00000070,51,448,499
WBGene00000071,9,48,57
WBGene00000072,29,154,183
WBGene00000073,33,166,199
WBGene00000074,35,147,182
WBGene00000075,7,43,50
WBGene00000079,63,851,914
WBGene00000080,2,62,64
WBGene00000081,18,95,113
WBGene00000082,6,15,21
WBGene00000083,129,831,960
WBGene00000084,12,13,25
WBGene00000085,12,70,82
WBGene00000086,37,157,194
WBGene00000088,23,72,95
WBGene00000089,42,486,528
WBGene00000090,21,211,232
WBGene00000092,41,605,646
WBGene00000093,13,198,211
WBGene00000094,55,206,261
WBGene00000095,35,350,385
WBGene00000096,33,80,113
WBGene00000097,61,407,468
WBGene00000098,31,300,331
WBGene00000099,37,178,215
WBGene00000100,174,760,934
WBGene00000101,50,391,441
WBGene00000102,81,979,1060
WBGene00000103,27,351,378
WBGene00000105,27,881,908
WBGene00000106,13,383,396
WBGene00000107,410,1972,2382
WBGene00000108,4,1,5
WBGene00000109,2,182,184
WBGene00000110,49,524,573
WBGene00000111,42,102,144
WBGene00000112,105,1238,1343
WBGene00000113,106,153,259
WBGene00000114,88,15823,15911
WBGene00000115,12,423,435
WBGene00000116,55,194,249
WBGene00000117,110,167,277
WBGene00000118,15,2686,2701
WBGene00000120,2,521,523
WBGene00000121,33,554,587
WBGene00000122,29,1915,1944
WBGene00000123,80,1130,1210
WBGene00000133,1,1,2
WBGene00000134,19,45,64
WBGene00000135,4,56,60
WBGene00000136,2,23,25
WBGene00000137,18,111,129
WBGene00000138,40,91,131
WBGene00000139,14,8,22
WBGene00000140,254,10118,10372
WBGene00000142,12,262,274
WBGene00000143,55,187,242
WBGene00000144,42,115,157
WBGene00000145,0,115,115
WBGene00000146,53,703,756
WBGene00000147,2,111,113
WBGene00000148,45,281,326
WBGene00000149,91,2535,2626
WBGene00000150,20,270,290
WBGene00000151,4,195,199
WBGene00000155,5,260,265
WBGene00000156,15,193,208
WBGene00000157,36,471,507
WBGene00000158,123,511,634
WBGene00000159,20,633,653
WBGene00000160,163,650,813
WBGene00000161,31,550,581
WBGene00000162,101,366,467
WBGene00000163,17,385,402
WBGene00000164,90,349,439
WBGene00000165,22,213,235
WBGene00000166,5,55,60
WBGene00000168,114,72,186
WBGene00000169,14,172,186
WBGene00000170,1257,5120,6377
WBGene00000171,2,0,2
WBGene00000172,22,45,67
WBGene00000173,1,34,35
WBGene00000174,3,20,23
WBGene00000175,1623,10515,12138
WBGene00000176,1,320,321
WBGene00000177,184,421,605
WBGene00000178,63,488,551
WBGene00000179,199,571,770
WBGene00000180,19,283,302
WBGene00000181,361,1444,1805
WBGene00000182,60,3504,3564
WBGene00000183,73,3474,3547
WBGene00000184,69,432,501
WBGene00000185,1,11,12
WBGene00000186,166,966,1132
WBGene00000187,0,366,366
WBGene00000188,0,90,90
WBGene00000189,3,122,125
WBGene00000190,29,60,89
WBGene00000192,6,492,498
WBGene00000193,3,14,17
WBGene00000195,21,289,310
WBGene00000196,90,459,549
WBGene00000197,11,1211,1222
WBGene00000198,78,641,719
WBGene00000199,55,740,795
WBGene00000200,30,601,631
WBGene00000201,395,975,1370
WBGene00000202,1,48,49
WBGene00000203,4,590,594
WBGene00000204,50,567,617
WBGene00000205,4,512,516
WBGene00000206,79,570,649
WBGene00000207,836,10839,11675
WBGene00000208,107,153,260
WBGene00000209,1102,4287,5389
WBGene00000210,3375,12597,15972
WBGene00000211,64,150,214
WBGene00000212,7,26,33
WBGene00000213,8,40,48
WBGene00000214,0,2115,2115
WBGene00000215,22,126,148
WBGene00000216,1,508,509
WBGene00000217,1234,5628,6862
WBGene00000218,18,376,394
WBGene00000219,2,521,523
WBGene00000220,42,184,226
WBGene00000221,741,2439,3180
WBGene00000222,39,253,292
WBGene00000223,139,1480,1619
WBGene00000224,163,1300,1463
WBGene00000225,1143,993,2136
WBGene00000226,33,274,307
WBGene00000227,55,256,311
WBGene00000228,318,4820,5138
WBGene00000229,2040,28686,30726
WBGene00000230,121,9574,9695
WBGene00000231,52,430,482
WBGene00000232,107,377,484
WBGene00000233,42,143,185
WBGene00000235,4,1859,1863
WBGene00000236,127,383,510
WBGene00000237,21,164,185
WBGene00000238,18,194,212
WBGene00000239,25,146,171
WBGene00000240,164,610,774
WBGene00000241,4,17,21
WBGene00000242,13,52,65
WBGene00000244,9,78,87
WBGene00000245,151,1859,2010
WBGene00000246,26,35,61
WBGene00000247,22,314,336
WBGene00000248,125,624,749
WBGene00000249,3,437,440
WBGene00000250,5,48,53
WBGene00000251,0,0,0
WBGene00000252,0,2,2
WBGene00000253,10,96,106
WBGene00000254,210,485,695
WBGene00000255,8,5,13
WBGene00000256,0,2,2
WBGene00000257,16,231,247
WBGene00000259,47,188,235
WBGene00000262,8,155,163
WBGene00000263,3816,14634,18450
WBGene00000264,82,90,172
WBGene00000265,40,101,141
WBGene00000266,132,739,871
WBGene00000267,14,39,53
WBGene00000268,86,331,417
WBGene00000269,29,209,238
WBGene00000270,7,57,64
WBGene00000271,15,214,229
WBGene00000272,21,98,119
WBGene00000273,32,934,966
WBGene00000274,75,211,286
WBGene00000275,4,238,242
WBGene00000276,98,1479,1577
WBGene00000277,418,3821,4239
WBGene00000279,3,65,68
WBGene00000280,32,126,158
WBGene00000281,22,933,955
WBGene00000282,119,837,956
WBGene00000283,83,932,1015
WBGene00000284,5,316,321
WBGene00000285,78,1346,1424
WBGene00000286,594,2557,3151
WBGene00000287,71,253,324
WBGene00000288,36,539,575
WBGene00000289,71,566,637
WBGene00000292,171,1470,1641
WBGene00000293,125,1926,2051
WBGene00000294,97,1589,1686
WBGene00000295,14,120,134
WBGene00000296,20,56,76
WBGene00000298,2,168,170
WBGene00000301,2,916,918
WBGene00000302,4,24,28
WBGene00000366,62,983,1045
WBGene00000367,114,416,530
WBGene00000368,86,767,853
