gene_id,total_unsp,total_sp,total
WBGene00000001,21,1098,1119
WBGene00000002,54,1348,1402
WBGene00000003,4,741,745
WBGene00000004,160,1789,1949
WBGene00000005,7,167,174
WBGene00000006,345,3688,4033
WBGene00000007,18,328,346
WBGene00000008,20,37,57
WBGene00000009,8,51,59
WBGene00000010,42,528,570
WBGene00000012,9,25,34
WBGene00000013,0,126,126
WBGene00000014,1,7,8
WBGene00000015,6,630,636
WBGene00000016,148,16222,16370
WBGene00000017,13,11182,11195
WBGene00000018,406,2382,2788
WBGene00000019,11,15,26
WBGene00000020,420,1478,1898
WBGene00000022,67,1941,2008
WBGene00000023,12,30,42
WBGene00000024,0,4,4
WBGene00000025,0,1,1
WBGene00000027,0,2,2
WBGene00000028,0,0,0
WBGene00000029,0,4,4
WBGene00000030,0,0,0
WBGene00000031,98,255,353
WBGene00000032,0,1,1
WBGene00000033,2,28,30
WBGene00000034,2,28,30
WBGene00000035,2015,944,2959
WBGene00000036,191,906,1097
WBGene00000037,58,2274,2332
WBGene00000038,89,474,563
WBGene00000039,23,824,847
WBGene00000040,75,14631,14706
WBGene00000041,711,24610,25321
WBGene00000042,170,482,652
WBGene00000043,55,233,288
WBGene00000044,60,150,210
WBGene00000045,14,42,56
WBGene00000046,167,405,572
WBGene00000047,142,787,929
WBGene00000048,27,130,157
WBGene00000049,18,99,117
WBGene00000050,24,394,418
WBGene00000051,63,573,636
WBGene00000053,25,72,97
WBGene00000054,58,493,551
WBGene00000055,12,366,378
WBGene00000056,47,287,334
WBGene00000057,110,180,290
WBGene00000058,341,546,887
WBGene00000059,26,241,267
WBGene00000060,16,60,76
WBGene00000061,87,1062,1149
WBGene00000062,89,131,220
WBGene00000063,561,136079,136640
WBGene00000064,383,22868,23251
WBGene00000065,406,149699,150105
WBGene00000066,1321,323428,324749
WBGene00000067,1457,67861,69318
WBGene00000068,2042,2239,4281
WBGene00000069,42,268,310
WBGene00000070,407,1820,2227
WBGene00000071,74,730,804
WBGene00000072,145,1741,1886
WBGene00000073,152,1466,1618
WBGene00000074,327,1483,1810
WBGene00000075,21,394,415
WBGene00000079,299,5920,6219
WBGene00000080,4,320,324
WBGene00000081,308,8118,8426
WBGene00000082,159,224,383
WBGene00000083,504,4519,5023
WBGene00000084,76,553,629
WBGene00000085,71,576,647
WBGene00000086,167,1399,1566
WBGene00000088,170,1697,1867
WBGene00000089,137,3344,3481
WBGene00000090,150,1691,1841
WBGene00000092,401,3609,4010
WBGene00000093,42,1211,1253
WBGene00000094,113,1601,1714
WBGene00000095,261,3022,3283
WBGene00000096,182,558,740
WBGene00000097,129,3003,3132
WBGene00000098,87,1811,1898
WBGene00000099,73,1423,1496
WBGene00000100,980,14242,15222
WBGene00000101,188,3012,3200
WBGene00000102,556,6822,7378
WBGene00000103,199,3051,3250
WBGene00000105,185,4483,4668
WBGene00000106,92,2050,2142
WBGene00000107,1662,24628,26290
WBGene00000108,8,3,11
WBGene00000109,43,2050,2093
WBGene00000110,162,4862,5024
WBGene00000111,403,3169,3572
WBGene00000112,386,5297,5683
WBGene00000113,257,850,1107
WBGene00000114,332,61813,62145
WBGene00000115,64,2649,2713
WBGene00000116,236,1226,1462
WBGene00000117,542,1242,1784
WBGene00000118,11,11071,11082
WBGene00000120,2,3432,3434
WBGene00000121,58,3670,3728
WBGene00000122,62,11345,11407
WBGene00000123,323,8252,8575
WBGene00000133,10,45,55
WBGene00000134,101,315,416
WBGene00000135,47,454,501
WBGene00000136,19,1806,1825
WBGene00000137,120,713,833
WBGene00000138,128,1068,1196
WBGene00000139,96,267,363
WBGene00000140,1132,98277,99409
WBGene00000142,49,1592,1641
WBGene00000143,177,1351,1528
WBGene00000144,68,910,978
WBGene00000145,7,730,737
WBGene00000146,505,3957,4462
WBGene00000147,11,872,883
WBGene00000148,143,1777,1920
WBGene00000149,600,22807,23407
WBGene00000150,236,3051,3287
WBGene00000151,20,1502,1522
WBGene00000155,30,2957,2987
WBGene00000156,89,1300,1389
WBGene00000157,81,3235,3316
WBGene00000158,595,3970,4565
WBGene00000159,56,5117,5173
WBGene00000160,770,3969,4739
WBGene00000161,174,3640,3814
WBGene00000162,627,3556,4183
WBGene00000163,163,3898,4061
WBGene00000164,183,1921,2104
WBGene00000165,44,1454,1498
WBGene00000166,66,671,737
WBGene00000168,437,249,686
WBGene00000169,236,7181,7417
WBGene00000170,1644,25414,27058
WBGene00000171,24,4,28
WBGene00000172,589,7831,8420
WBGene00000173,18,306,324
WBGene00000174,41,296,337
WBGene00000175,1698,35321,37019
WBGene00000176,9,1807,1816
WBGene00000177,325,2086,2411
WBGene00000178,339,5061,5400
WBGene00000179,531,4467,4998
WBGene00000180,81,1402,1483
WBGene00000181,1152,9134,10286
WBGene00000182,230,18936,19166
WBGene00000183,242,20056,20298
