gene_id,total_unsp,total_sp,total
WBGene00000001,3,126,129
WBGene00000002,2,73,75
WBGene00000003,0,34,34
WBGene00000004,25,203,228
WBGene00000005,0,0,0
WBGene00000006,105,520,625
WBGene00000007,1,7,8
WBGene00000008,4,0,4
WBGene00000009,4,12,16
WBGene00000010,10,67,77
WBGene00000012,3,9,12
WBGene00000013,0,192,192
WBGene00000014,0,0,0
WBGene00000015,2,25,27
WBGene00000016,27,396,423
WBGene00000017,1,299,300
WBGene00000018,44,112,156
WBGene00000019,3,1,4
WBGene00000020,27,140,167
WBGene00000022,8,76,84
WBGene00000023,2,2,4
WBGene00000024,0,0,0
WBGene00000025,0,3,3
WBGene00000027,0,1,1
WBGene00000028,0,0,0
WBGene00000029,0,0,0
WBGene00000030,0,0,0
WBGene00000031,18,3,21
WBGene00000032,0,0,0
WBGene00000033,0,2,2
WBGene00000034,2,9,11
WBGene00000035,791,112,903
WBGene00000036,33,72,105
WBGene00000037,13,113,126
WBGene00000038,5,17,22
WBGene00000039,0,1,1
WBGene00000040,2,220,222
WBGene00000041,36,958,994
WBGene00000042,13,47,60
WBGene00000043,5,19,24
WBGene00000044,5,14,19
WBGene00000045,3,2,5
WBGene00000046,52,62,114
WBGene00000047,16,45,61
WBGene00000048,0,12,12
WBGene00000049,4,4,8
WBGene00000050,3,5,8
WBGene00000051,4,31,35
WBGene00000053,0,5,5
WBGene00000054,10,32,42
WBGene00000055,0,31,31
WBGene00000056,12,22,34
WBGene00000057,16,18,34
WBGene00000058,30,54,84
WBGene00000059,8,27,35
WBGene00000060,5,6,11
WBGene00000061,7,3,10
WBGene00000062,22,20,42
WBGene00000063,57,13470,13527
WBGene00000064,75,1200,1275
WBGene00000065,28,4200,4228
WBGene00000066,539,54126,54665
WBGene00000067,14,268,282
WBGene00000068,764,230,994
WBGene00000069,4,24,28
WBGene00000070,45,112,157
WBGene00000071,7,20,27
WBGene00000072,15,107,122
WBGene00000073,21,125,146
WBGene00000074,42,124,166
WBGene00000075,13,20,33
WBGene00000079,24,235,259
WBGene00000080,0,40,40
WBGene00000081,64,347,411
WBGene00000082,13,14,27
WBGene00000083,43,148,191
WBGene00000084,12,32,44
WBGene00000085,5,34,39
WBGene00000086,28,112,140
WBGene00000088,11,69,80
WBGene00000089,21,153,174
WBGene00000090,20,81,101
WBGene00000092,55,561,616
WBGene00000093,5,46,51
WBGene00000094,47,131,178
WBGene00000095,41,290,331
WBGene00000096,50,119,169
WBGene00000097,55,297,352
WBGene00000098,35,131,166
WBGene00000099,29,101,130
WBGene00000100,210,945,1155
WBGene00000101,54,274,328
WBGene00000102,94,948,1042
WBGene00000103,20,282,302
WBGene00000105,28,569,597
WBGene00000106,12,98,110
WBGene00000107,363,1336,1699
WBGene00000108,1,0,1
WBGene00000109,14,377,391
WBGene00000110,39,497,536
WBGene00000111,18,54,72
WBGene00000112,44,252,296
WBGene00000113,31,30,61
WBGene00000114,133,20003,20136
WBGene00000115,1,93,94
WBGene00000116,18,70,88
WBGene00000117,79,115,194
WBGene00000118,15,3651,3666
WBGene00000120,2,271,273
WBGene00000121,15,204,219
WBGene00000122,10,615,625
WBGene00000123,36,472,508
WBGene00000133,7,66,73
WBGene00000134,10,45,55
WBGene00000135,4,24,28
WBGene00000136,4,19,23
WBGene00000137,7,41,48
WBGene00000138,16,47,63
WBGene00000139,32,62,94
WBGene00000140,282,8332,8614
WBGene00000142,5,78,83
WBGene00000143,43,141,184
WBGene00000144,104,234,338
WBGene00000145,4,52,56
WBGene00000146,63,322,385
WBGene00000147,2,65,67
WBGene00000148,35,108,143
WBGene00000149,85,1545,1630
WBGene00000150,27,230,257
WBGene00000151,5,120,125
WBGene00000155,3,149,152
WBGene00000156,12,96,108
WBGene00000157,13,116,129
WBGene00000158,66,179,245
WBGene00000159,14,361,375
WBGene00000160,120,193,313
WBGene00000161,22,188,210
WBGene00000162,88,201,289
WBGene00000163,9,271,280
WBGene00000164,33,124,157
WBGene00000165,4,100,104
WBGene00000166,3,45,48
WBGene00000168,53,18,71
WBGene00000169,3,29,32
WBGene00000170,2014,8704,10718
WBGene00000171,2,4,6
WBGene00000172,19,58,77
WBGene00000173,2,14,16
WBGene00000174,9,25,34
WBGene00000175,78,404,482
WBGene00000176,0,14,14
WBGene00000177,25,56,81
WBGene00000178,59,302,361
WBGene00000179,65,149,214
WBGene00000180,17,108,125
WBGene00000181,129,466,595
WBGene00000182,43,779,822
WBGene00000183,67,843,910
WBGene00000184,46,254,300
WBGene00000185,3,6,9
WBGene00000186,83,335,418
WBGene00000187,1,106,107
WBGene00000188,0,68,68
WBGene00000189,3,41,44
WBGene00000190,35,77,112
WBGene00000192,8,307,315
WBGene00000193,4,10,14
WBGene00000195,17,192,209
WBGene00000196,45,141,186
WBGene00000197,4,304,308
WBGene00000198,47,201,248
WBGene00000199,34,231,265
WBGene00000200,14,327,341
WBGene00000201,254,636,890
WBGene00000202,0,22,22
WBGene00000203,5,158,163
WBGene00000204,40,367,407
WBGene00000205,4,157,161
WBGene00000206,35,178,213
WBGene00000207,446,3699,4145
WBGene00000208,230,192,422
WBGene00000209,406,1300,1706
WBGene00000210,1824,4880,6704
WBGene00000211,20,68,88
WBGene00000212,28,82,110
WBGene00000213,14,77,91
WBGene00000214,0,11260,11260
WBGene00000215,108,389,497
WBGene00000216,22,2962,2984
WBGene00000217,1526,5025,6551
WBGene00000218,147,3086,3233
WBGene00000219,14,7487,7501
WBGene00000220,15,68,83
WBGene00000221,439,1229,1668
WBGene00000222,26,163,189
WBGene00000223,103,631,734
WBGene00000224,96,590,686
WBGene00000225,2071,767,2838
WBGene00000226,32,205,237
WBGene00000227,31,103,134
WBGene00000228,43,482,525
WBGene00000229,1218,9492,10710
WBGene00000230,44,4196,4240
WBGene00000231,33,194,227
WBGene00000232,33,152,185
WBGene00000233,30,109,139
WBGene00000235,3,521,524
WBGene00000236,42,111,153
WBGene00000237,12,73,85
WBGene00000238,8,54,62
WBGene00000239,9,25,34
WBGene00000240,882,2707,3589
WBGene00000241,3,31,34
WBGene00000242,13,35,48
WBGene00000244,9,69,78
WBGene00000245,20,234,254
WBGene00000246,16,13,29
WBGene00000247,11,209,220
WBGene00000248,56,150,206
WBGene00000249,5,295,300
WBGene00000250,10,92,102
WBGene00000251,1,0,1
WBGene00000252,0,5,5
WBGene00000253,26,55,81
WBGene00000254,136,307,443
WBGene00000255,13,2,15
WBGene00000256,0,2,2
WBGene00000257,12,169,181
WBGene00000259,38,179,217
WBGene00000262,2,83,85
WBGene00000263,1898,5028,6926
WBGene00000264,47,66,113
WBGene00000265,21,50,71
WBGene00000266,40,197,237
WBGene00000267,11,36,47
WBGene00000268,61,126,187
WBGene00000269,23,93,116
WBGene00000270,1,70,71
WBGene00000271,9,131,140
WBGene00000272,3,5,8
WBGene00000273,137,3795,3932
WBGene00000274,50,90,140
WBGene00000275,4,115,119
WBGene00000276,89,1202,1291
