gene_id,total_unsp,total_sp,total
WBGene00000001,8,506,514
WBGene00000002,22,212,234
WBGene00000003,0,122,122
WBGene00000004,92,660,752
WBGene00000005,1,2,3
WBGene00000006,234,1440,1674
WBGene00000007,3,11,14
WBGene00000008,5,5,10
WBGene00000009,13,21,34
WBGene00000010,30,212,242
WBGene00000012,16,24,40
WBGene00000013,0,446,446
WBGene00000014,1,2,3
WBGene00000015,0,14,14
WBGene00000016,39,1177,1216
WBGene00000017,4,900,904
WBGene00000018,146,328,474
WBGene00000019,16,5,21
WBGene00000020,97,395,492
WBGene00000022,15,153,168
WBGene00000023,7,8,15
WBGene00000024,0,4,4
WBGene00000025,0,4,4
WBGene00000027,0,3,3
WBGene00000028,0,0,0
WBGene00000029,0,0,0
WBGene00000030,0,0,0
WBGene00000031,57,8,65
WBGene00000032,0,0,0
WBGene00000033,0,5,5
WBGene00000034,2,29,31
WBGene00000035,1839,359,2198
WBGene00000036,88,308,396
WBGene00000037,28,400,428
WBGene00000038,26,30,56
WBGene00000039,5,5,10
WBGene00000040,14,608,622
WBGene00000041,136,2343,2479
WBGene00000042,41,98,139
WBGene00000043,19,50,69
WBGene00000044,35,48,83
WBGene00000045,9,13,22
WBGene00000046,78,111,189
WBGene00000047,51,131,182
WBGene00000048,2,30,32
WBGene00000049,12,19,31
WBGene00000050,11,24,35
WBGene00000051,11,55,66
WBGene00000053,9,18,27
WBGene00000054,13,59,72
WBGene00000055,8,126,134
WBGene00000056,22,48,70
WBGene00000057,43,72,115
WBGene00000058,86,159,245
WBGene00000059,21,55,76
WBGene00000060,8,22,30
WBGene00000061,12,35,47
WBGene00000062,82,67,149
WBGene00000063,191,38032,38223
WBGene00000064,112,4029,4141
WBGene00000065,65,12650,12715
WBGene00000066,980,127980,128960
WBGene00000067,18,665,683
WBGene00000068,1428,746,2174
WBGene00000069,21,86,107
WBGene00000070,157,376,533
WBGene00000071,17,103,120
WBGene00000072,70,335,405
WBGene00000073,60,301,361
WBGene00000074,155,378,533
WBGene00000075,14,52,66
WBGene00000079,131,1004,1135
WBGene00000080,5,164,169
WBGene00000081,108,1108,1216
WBGene00000082,62,74,136
WBGene00000083,154,367,521
WBGene00000084,30,85,115
WBGene00000085,35,147,182
WBGene00000086,96,373,469
WBGene00000088,50,248,298
WBGene00000089,51,532,583
WBGene00000090,56,466,522
WBGene00000092,199,1822,2021
WBGene00000093,15,167,182
WBGene00000094,58,372,430
WBGene00000095,124,1158,1282
WBGene00000096,211,495,706
WBGene00000097,101,871,972
WBGene00000098,73,468,541
WBGene00000099,48,378,426
WBGene00000100,480,3514,3994
WBGene00000101,134,1039,1173
WBGene00000102,336,3558,3894
WBGene00000103,80,1083,1163
WBGene00000105,85,1622,1707
WBGene00000106,25,304,329
WBGene00000107,864,4670,5534
WBGene00000108,2,0,2
WBGene00000109,52,1187,1239
WBGene00000110,102,1440,1542
WBGene00000111,70,201,271
WBGene00000112,127,801,928
WBGene00000113,104,100,204
WBGene00000114,426,67913,68339
WBGene00000115,9,347,356
WBGene00000116,44,170,214
WBGene00000117,216,294,510
WBGene00000118,39,11475,11514
WBGene00000120,4,1089,1093
WBGene00000121,25,754,779
WBGene00000122,28,1841,1869
WBGene00000123,114,1845,1959
WBGene00000133,14,157,171
WBGene00000134,38,106,144
WBGene00000135,25,102,127
WBGene00000136,10,70,80
WBGene00000137,50,147,197
WBGene00000138,43,126,169
WBGene00000139,58,164,222
WBGene00000140,690,26944,27634
WBGene00000142,35,392,427
WBGene00000143,142,598,740
WBGene00000144,160,640,800
WBGene00000145,7,234,241
WBGene00000146,232,1306,1538
WBGene00000147,4,344,348
WBGene00000148,46,389,435
WBGene00000149,249,4556,4805
WBGene00000150,81,680,761
WBGene00000151,9,476,485
WBGene00000155,7,346,353
WBGene00000156,69,465,534
WBGene00000157,28,413,441
WBGene00000158,249,606,855
WBGene00000159,20,1248,1268
WBGene00000160,353,745,1098
WBGene00000161,76,659,735
WBGene00000162,290,795,1085
WBGene00000163,54,1108,1162
WBGene00000164,60,255,315
WBGene00000165,14,368,382
WBGene00000166,18,119,137
WBGene00000168,191,87,278
WBGene00000169,17,148,165
WBGene00000170,3360,25879,29239
WBGene00000171,16,6,22
WBGene00000172,63,121,184
WBGene00000173,8,40,48
WBGene00000174,25,75,100
WBGene00000175,125,1066,1191
WBGene00000176,8,67,75
WBGene00000177,71,178,249
WBGene00000178,144,1016,1160
WBGene00000179,138,414,552
WBGene00000180,25,302,327
WBGene00000181,307,1478,1785
WBGene00000182,78,2376,2454
WBGene00000183,167,2792,2959
WBGene00000184,149,896,1045
WBGene00000185,4,39,43
WBGene00000186,285,1184,1469
WBGene00000187,4,365,369
WBGene00000188,0,89,89
WBGene00000189,7,133,140
WBGene00000190,73,230,303
WBGene00000192,17,1080,1097
WBGene00000193,19,53,72
WBGene00000195,58,547,605
WBGene00000196,97,469,566
WBGene00000197,18,988,1006
WBGene00000198,93,560,653
WBGene00000199,133,1010,1143
WBGene00000200,72,1069,1141
WBGene00000201,611,2115,2726
WBGene00000202,5,101,106
WBGene00000203,8,498,506
WBGene00000204,72,1174,1246
WBGene00000205,8,512,520
WBGene00000206,54,624,678
WBGene00000207,801,12515,13316
WBGene00000208,712,620,1332
WBGene00000209,648,3528,4176
WBGene00000210,3098,15585,18683
WBGene00000211,72,182,254
WBGene00000212,75,271,346
WBGene00000213,22,200,222
WBGene00000214,0,29029,29029
WBGene00000215,153,1039,1192
WBGene00000216,37,8136,8173
