gene_id,total_unsp,total_sp,total
WBGene00000001,13,1407,1420
WBGene00000002,41,887,928
WBGene00000003,3,424,427
WBGene00000004,145,1325,1470
WBGene00000005,3,10,13
WBGene00000006,383,3462,3845
WBGene00000007,15,95,110
WBGene00000008,9,3,12
WBGene00000009,24,184,208
WBGene00000010,43,540,583
WBGene00000012,11,38,49
WBGene00000013,0,640,640
WBGene00000014,1,7,8
WBGene00000015,4,236,240
WBGene00000016,119,16724,16843
WBGene00000017,9,11185,11194
WBGene00000018,541,1829,2370
WBGene00000019,30,18,48
WBGene00000020,403,1612,2015
WBGene00000022,116,1313,1429
WBGene00000023,15,27,42
WBGene00000024,0,17,17
WBGene00000025,1,15,16
WBGene00000027,3,3,6
WBGene00000028,0,0,0
WBGene00000029,0,0,0
WBGene00000030,0,0,0
WBGene00000031,130,81,211
WBGene00000032,0,1,1
WBGene00000033,2,10,12
WBGene00000034,1,38,39
WBGene00000035,2557,453,3010
WBGene00000036,225,969,1194
WBGene00000037,54,1129,1183
WBGene00000038,132,377,509
WBGene00000039,5,5,10
WBGene00000040,32,3214,3246
WBGene00000041,347,6696,7043
WBGene00000042,148,433,581
WBGene00000043,33,121,154
WBGene00000044,61,103,164
WBGene00000045,19,30,49
WBGene00000046,162,382,544
WBGene00000047,58,157,215
WBGene00000048,16,132,148
WBGene00000049,25,73,98
WBGene00000050,33,225,258
WBGene00000051,40,323,363
WBGene00000053,20,55,75
WBGene00000054,30,224,254
WBGene00000055,10,291,301
WBGene00000056,56,163,219
WBGene00000057,98,165,263
WBGene00000058,351,551,902
WBGene00000059,57,216,273
WBGene00000060,18,62,80
WBGene00000061,48,526,574
WBGene00000062,119,145,264
WBGene00000063,411,74067,74478
WBGene00000064,148,11011,11159
WBGene00000065,122,30148,30270
WBGene00000066,1413,294271,295684
WBGene00000067,97,5095,5192
WBGene00000068,2201,2284,4485
WBGene00000069,44,389,433
WBGene00000070,377,815,1192
WBGene00000071,89,403,492
WBGene00000072,152,1093,1245
WBGene00000073,100,1326,1426
WBGene00000074,474,1832,2306
WBGene00000075,26,192,218
WBGene00000079,350,3184,3534
WBGene00000080,3,332,335
WBGene00000081,350,9916,10266
WBGene00000082,244,263,507
WBGene00000083,352,1052,1404
WBGene00000084,113,575,688
WBGene00000085,50,287,337
WBGene00000086,283,1460,1743
WBGene00000088,182,1644,1826
WBGene00000089,106,1735,1841
WBGene00000090,157,1766,1923
WBGene00000092,525,4696,5221
WBGene00000093,22,483,505
WBGene00000094,108,1413,1521
WBGene00000095,296,3120,3416
WBGene00000096,303,718,1021
WBGene00000097,123,2073,2196
WBGene00000098,134,1150,1284
WBGene00000099,53,880,933
WBGene00000100,1721,23893,25614
WBGene00000101,239,3836,4075
WBGene00000102,851,11888,12739
WBGene00000103,190,4033,4223
WBGene00000105,198,4257,4455
WBGene00000106,65,789,854
WBGene00000107,1812,22256,24068
WBGene00000108,7,3,10
WBGene00000109,58,2410,2468
WBGene00000110,183,5187,5370
WBGene00000111,175,1156,1331
WBGene00000112,290,1880,2170
WBGene00000113,245,298,543
WBGene00000114,584,152679,153263
WBGene00000115,25,856,881
WBGene00000116,95,562,657
WBGene00000117,683,1013,1696
WBGene00000118,35,23205,23240
WBGene00000120,4,2783,2787
WBGene00000121,31,1898,1929
WBGene00000122,45,5041,5086
WBGene00000123,264,6150,6414
WBGene00000133,32,599,631
WBGene00000134,70,290,360
WBGene00000135,79,404,483
WBGene00000136,32,340,372
WBGene00000137,88,397,485
WBGene00000138,97,696,793
WBGene00000139,234,960,1194
WBGene00000140,1725,117248,118973
WBGene00000142,70,1002,1072
WBGene00000143,173,1489,1662
WBGene00000144,181,1984,2165
WBGene00000145,14,866,880
WBGene00000146,636,4384,5020
WBGene00000147,7,863,870
WBGene00000148,87,1149,1236
WBGene00000149,802,23398,24200
WBGene00000150,318,3625,3943
WBGene00000151,25,1754,1779
WBGene00000155,21,1285,1306
WBGene00000156,111,1309,1420
WBGene00000157,35,1396,1431
WBGene00000158,724,2368,3092
WBGene00000159,49,4443,4492
WBGene00000160,780,2072,2852
WBGene00000161,249,2166,2415
WBGene00000162,732,2614,3346
WBGene00000163,145,3971,4116
WBGene00000164,94,954,1048
WBGene00000165,21,903,924
WBGene00000166,57,546,603
WBGene00000168,455,169,624
WBGene00000169,116,1969,2085
WBGene00000170,2773,47896,50669
WBGene00000171,58,18,76
WBGene00000172,209,1165,1374
WBGene00000173,19,278,297
WBGene00000174,92,749,841
WBGene00000175,156,2743,2899
WBGene00000176,4,195,199
WBGene00000177,130,770,900
WBGene00000178,287,4975,5262
WBGene00000179,165,997,1162
WBGene00000180,62,873,935
WBGene00000181,542,5193,5735
WBGene00000182,168,6636,6804
WBGene00000183,198,8569,8767
WBGene00000184,241,1877,2118
WBGene00000185,4,90,94
WBGene00000186,608,2913,3521
WBGene00000187,4,1159,1163
WBGene00000188,0,104,104
WBGene00000189,16,335,351
WBGene00000190,112,387,499
WBGene00000192,34,2808,2842
WBGene00000193,17,150,167
WBGene00000195,106,1752,1858
WBGene00000196,182,1459,1641
WBGene00000197,30,2816,2846
WBGene00000198,100,2095,2195
WBGene00000199,380,2868,3248
WBGene00000200,145,3421,3566
WBGene00000201,983,6322,7305
WBGene00000202,9,388,397
WBGene00000203,19,1392,1411
WBGene00000204,72,3018,3090
WBGene00000205,10,1423,1433
WBGene00000206,61,1885,1946
WBGene00000207,1095,45343,46438
WBGene00000208,1662,1746,3408
WBGene00000209,580,9500,10080
WBGene00000210,3251,47886,51137
WBGene00000211,57,400,457
WBGene00000212,229,2152,2381
WBGene00000213,66,2398,2464
WBGene00000214,0,290505,290505
WBGene00000215,560,12964,13524
WBGene00000216,230,105387,105617
WBGene00000217,1721,29812,31533
WBGene00000218,483,73876,74359
WBGene00000219,136,191894,192030
WBGene00000220,46,478,524
WBGene00000221,1118,9773,10891
WBGene00000222,147,2129,2276
WBGene00000223,1292,7029,8321
WBGene00000224,343,4673,5016
WBGene00000225,15571,3554,19125
WBGene00000226,240,2891,3131
WBGene00000227,394,1751,2145
WBGene00000228,197,3458,3655
WBGene00000229,2767,108084,110851
WBGene00000230,262,45943,46205
WBGene00000231,278,2560,2838
WBGene00000232,264,1640,1904
WBGene00000233,607,3583,4190
WBGene00000235,6,4573,4579
WBGene00000236,134,1255,1389
WBGene00000237,188,870,1058
WBGene00000238,57,475,532
WBGene00000239,52,418,470
WBGene00000240,1654,15049,16703
WBGene00000241,52,284,336
WBGene00000242,65,553,618
WBGene00000244,79,842,921
WBGene00000245,77,1239,1316
WBGene00000246,56,57,113
WBGene00000247,116,2002,2118
WBGene00000248,178,2025,2203
WBGene00000249,12,2402,2414
WBGene00000250,51,1264,1315
WBGene00000251,1,15,16
WBGene00000252,2,38,40
WBGene00000253,124,675,799
WBGene00000254,831,3457,4288
WBGene00000255,66,27,93
WBGene00000256,1,20,21
WBGene00000257,57,2340,2397
WBGene00000259,199,2264,2463
WBGene00000262,20,659,679
WBGene00000263,3446,43517,46963
WBGene00000264,298,698,996
WBGene00000265,174,792,966
WBGene00000266,119,1549,1668
WBGene00000267,123,422,545
WBGene00000268,839,1414,2253
WBGene00000269,253,960,1213
WBGene00000270,31,746,777
WBGene00000271,67,1469,1536
WBGene00000272,18,49,67
WBGene00000273,708,26568,27276
WBGene00000274,527,1455,1982
WBGene00000275,26,1204,1230
WBGene00000276,244,10241,10485
WBGene00000277,4400,42202,46602
WBGene00000279,22,301,323
WBGene00000280,82,481,563
WBGene00000281,90,7194,7284
WBGene00000282,425,5204,5629
WBGene00000283,87,1511,1598
WBGene00000284,16,1335,1351
WBGene00000285,212,4858,5070
WBGene00000286,723,10643,11366
WBGene00000287,760,5156,5916
WBGene00000288,449,2593,3042
WBGene00000289,331,1120,1451
WBGene00000292,305,6913,7218
WBGene00000293,495,15947,16442
WBGene00000294,312,4839,5151
WBGene00000295,66,387,453
WBGene00000296,28,45,73
WBGene00000298,65,4127,4192
WBGene00000301,14,12705,12719
WBGene00000302,42,608,650
WBGene00000366,372,10510,10882
WBGene00000367,701,2709,3410
WBGene00000368,321,3161,3482
WBGene00000369,2,2002,2004
WBGene00000370,3088,17971,21059
WBGene00000371,3662,74874,78536
WBGene00000372,68,1564,1632
WBGene00000373,60,289,349
WBGene00000375,67,688,755
WBGene00000376,654,2125,2779
WBGene00000377,64,9935,9999
WBGene00000378,24,10138,10162
WBGene00000379,706,14966,15672
WBGene00000380,1563,23321,24884
WBGene00000381,48,5891,5939
WBGene00000382,38,871,909
WBGene00000383,306,6741,7047
WBGene00000386,16,493,509
WBGene00000387,355,227,582
WBGene00000388,1,12,13
WBGene00000389,2,1,3
WBGene00000390,185,5654,5839
WBGene00000391,1338,10845,12183
WBGene00000392,0,23,23
WBGene00000393,236,2279,2515
WBGene00000395,118,839,957
WBGene00000396,128,3749,3877
WBGene00000397,15,55,70
WBGene00000399,12,9,21
WBGene00000401,74,146,220
WBGene00000402,146,22,168
WBGene00000403,1298,12230,13528
WBGene00000405,26,2736,2762
WBGene00000406,94,399,493
WBGene00000407,223,1102,1325
WBGene00000408,589,1996,2585
WBGene00000409,193,1826,2019
WBGene00000410,373,1715,2088
WBGene00000411,24,1890,1914
WBGene00000412,12,87,99
WBGene00000413,82,539,621
WBGene00000414,371,11452,11823
WBGene00000415,3361,3993,7354
WBGene00000416,68,2189,2257
WBGene00000417,90,172,262
WBGene00000418,26,569,595
WBGene00000419,417,2858,3275
WBGene00000420,122,1572,1694
WBGene00000421,424,4020,4444
WBGene00000422,8,27,35
WBGene00000423,58,1097,1155
WBGene00000424,191,1326,1517
WBGene00000425,5,100,105
WBGene00000426,480,2402,2882
WBGene00000427,1,15,16
WBGene00000428,9,190,199
WBGene00000429,206,523,729
WBGene00000430,10,106,116
WBGene00000431,48,977,1025
WBGene00000432,38,26,64
WBGene00000433,177,680,857
WBGene00000434,16,84,100
WBGene00000435,18,116,134
WBGene00000436,9,21,30
WBGene00000437,157,1218,1375
WBGene00000438,44,45,89
WBGene00000439,35,497,532
WBGene00000440,6,77,83
WBGene00000441,503,917,1420
WBGene00000442,46,494,540
WBGene00000443,127,2965,3092
WBGene00000444,8,336,344
WBGene00000445,87,803,890
WBGene00000446,29,382,411
WBGene00000447,105,443,548
WBGene00000448,128,1033,1161
WBGene00000449,451,1835,2286
WBGene00000450,9,30,39
WBGene00000451,12,98,110
WBGene00000452,9,339,348
WBGene00000453,84,961,1045
WBGene00000454,13,284,297
WBGene00000455,293,1331,1624
