gene_id,total_unsp,total_sp,total
WBGene00000001,16,1124,1140
WBGene00000002,43,821,864
WBGene00000003,10,739,749
WBGene00000004,176,2057,2233
WBGene00000005,1,8,9
WBGene00000006,491,4188,4679
WBGene00000007,2,60,62
WBGene00000008,43,12,55
WBGene00000009,10,64,74
WBGene00000010,46,471,517
WBGene00000012,29,59,88
WBGene00000013,0,175,175
WBGene00000014,1,10,11
WBGene00000015,0,73,73
WBGene00000016,12,1263,1275
WBGene00000017,5,2483,2488
WBGene00000018,472,1884,2356
WBGene00000019,7,8,15
WBGene00000020,151,450,601
WBGene00000022,11,89,100
WBGene00000023,5,17,22
WBGene00000024,0,5,5
WBGene00000025,0,7,7
WBGene00000027,1,1,2
WBGene00000028,0,0,0
WBGene00000029,0,0,0
WBGene00000030,0,0,0
WBGene00000031,11,12,23
WBGene00000032,0,0,0
WBGene00000033,0,8,8
WBGene00000034,1,8,9
WBGene00000035,1037,1625,2662
WBGene00000036,135,587,722
WBGene00000037,44,1728,1772
WBGene00000038,52,114,166
WBGene00000039,33,2451,2484
WBGene00000040,64,8062,8126
WBGene00000041,1092,29594,30686
WBGene00000042,45,172,217
WBGene00000043,33,100,133
WBGene00000044,27,83,110
WBGene00000045,18,20,38
WBGene00000046,83,99,182
WBGene00000047,292,1619,1911
WBGene00000048,19,61,80
WBGene00000049,7,11,18
WBGene00000050,10,45,55
WBGene00000051,37,217,254
WBGene00000053,12,29,41
WBGene00000054,80,688,768
WBGene00000055,21,478,499
WBGene00000056,29,108,137
WBGene00000057,97,160,257
WBGene00000058,106,168,274
WBGene00000059,18,77,95
WBGene00000060,20,33,53
WBGene00000061,27,66,93
WBGene00000062,76,139,215
WBGene00000063,932,259625,260557
WBGene00000064,431,24519,24950
WBGene00000065,1033,269668,270701
WBGene00000066,1584,397490,399074
WBGene00000067,39,1697,1736
WBGene00000068,1555,2350,3905
WBGene00000069,22,141,163
WBGene00000070,474,2802,3276
WBGene00000071,30,188,218
WBGene00000072,86,957,1043
WBGene00000073,73,688,761
WBGene00000074,185,997,1182
WBGene00000075,39,195,234
WBGene00000079,292,5627,5919
WBGene00000080,8,340,348
WBGene00000081,35,331,366
WBGene00000082,70,99,169
WBGene00000083,526,4155,4681
WBGene00000084,42,38,80
WBGene00000085,38,334,372
WBGene00000086,101,759,860
WBGene00000088,95,264,359
WBGene00000089,103,1888,1991
WBGene00000090,127,1171,1298
WBGene00000092,264,2725,2989
WBGene00000093,62,1165,1227
WBGene00000094,116,1302,1418
WBGene00000095,260,3097,3357
WBGene00000096,307,810,1117
WBGene00000097,140,2648,2788
WBGene00000098,124,1748,1872
WBGene00000099,103,1692,1795
WBGene00000100,548,5936,6484
WBGene00000101,200,2671,2871
WBGene00000102,544,6208,6752
WBGene00000103,129,1938,2067
WBGene00000105,177,4903,5080
WBGene00000106,119,2509,2628
WBGene00000107,804,9023,9827
WBGene00000108,6,1,7
WBGene00000109,38,1066,1104
WBGene00000110,139,3070,3209
WBGene00000111,91,426,517
WBGene00000112,646,7690,8336
WBGene00000113,347,933,1280
WBGene00000114,595,91876,92471
WBGene00000115,62,2134,2196
WBGene00000116,134,1033,1167
WBGene00000117,394,719,1113
WBGene00000118,32,16998,17030
WBGene00000120,5,4986,4991
WBGene00000121,59,4315,4374
WBGene00000122,65,13683,13748
WBGene00000123,328,7226,7554
WBGene00000133,2,12,14
WBGene00000134,100,217,317
WBGene00000135,18,136,154
WBGene00000136,3,54,57
WBGene00000137,150,732,882
WBGene00000138,73,464,537
WBGene00000139,86,69,155
WBGene00000140,873,55459,56332
WBGene00000142,55,1559,1614
WBGene00000143,167,1187,1354
WBGene00000144,35,497,532
WBGene00000145,8,828,836
WBGene00000146,552,4177,4729
WBGene00000147,8,846,854
WBGene00000148,136,1808,1944
WBGene00000149,374,12482,12856
WBGene00000150,129,1305,1434
WBGene00000151,28,1304,1332
WBGene00000155,18,1505,1523
WBGene00000156,82,1179,1261
WBGene00000157,98,3533,3631
WBGene00000158,1081,3419,4500
WBGene00000159,73,4720,4793
WBGene00000160,786,3055,3841
WBGene00000161,231,3410,3641
WBGene00000162,590,2795,3385
WBGene00000163,84,3013,3097
WBGene00000164,161,1624,1785
WBGene00000165,45,1860,1905
WBGene00000166,34,262,296
WBGene00000168,838,548,1386
WBGene00000169,16,158,174
WBGene00000170,2586,32678,35264
WBGene00000171,6,0,6
WBGene00000172,85,224,309
WBGene00000173,10,108,118
WBGene00000174,17,119,136
WBGene00000175,4021,64558,68579
WBGene00000176,8,1243,1251
WBGene00000177,560,3102,3662
WBGene00000178,273,3086,3359
WBGene00000179,462,3258,3720
WBGene00000180,81,1318,1399
WBGene00000181,1575,10221,11796
WBGene00000182,284,24749,25033
WBGene00000183,434,26811,27245
WBGene00000184,280,2194,2474
WBGene00000185,0,25,25
WBGene00000186,770,7433,8203
WBGene00000187,10,2114,2124
WBGene00000188,0,182,182
WBGene00000189,24,990,1014
WBGene00000190,38,180,218
WBGene00000192,24,3646,3670
WBGene00000193,12,92,104
WBGene00000195,85,1493,1578
WBGene00000196,252,2363,2615
WBGene00000197,62,6790,6852
WBGene00000198,204,2829,3033
WBGene00000199,311,5510,5821
WBGene00000200,188,3538,3726
WBGene00000201,1279,5714,6993
WBGene00000202,13,542,555
WBGene00000203,35,3816,3851
WBGene00000204,91,4140,4231
WBGene00000205,24,3098,3122
WBGene00000206,204,3548,3752
WBGene00000207,1620,71508,73128
WBGene00000208,683,1148,1831
WBGene00000209,1702,27691,29393
WBGene00000210,6181,76989,83170
WBGene00000211,343,1131,1474
WBGene00000212,8,43,51
WBGene00000213,3,39,42
WBGene00000214,0,4619,4619
WBGene00000215,46,456,502
