gene_id,total_unsp,total_sp,total
WBGene00000001,13,477,490
WBGene00000002,25,310,335
WBGene00000003,3,299,302
WBGene00000004,107,897,1004
WBGene00000005,1,1,2
WBGene00000006,245,1726,1971
WBGene00000007,4,20,24
WBGene00000008,12,5,17
WBGene00000009,8,28,36
WBGene00000010,27,188,215
WBGene00000012,7,20,27
WBGene00000013,0,107,107
WBGene00000014,0,1,1
WBGene00000015,2,61,63
WBGene00000016,39,1298,1337
WBGene00000017,4,1084,1088
WBGene00000018,195,708,903
WBGene00000019,5,2,7
WBGene00000020,115,333,448
WBGene00000022,6,92,98
WBGene00000023,6,16,22
WBGene00000024,0,0,0
WBGene00000025,0,5,5
WBGene00000027,0,1,1
WBGene00000028,0,0,0
WBGene00000029,0,0,0
WBGene00000030,0,0,0
WBGene00000031,12,13,25
WBGene00000032,0,0,0
WBGene00000033,0,3,3
WBGene00000034,2,4,6
WBGene00000035,582,625,1207
WBGene00000036,70,254,324
WBGene00000037,36,830,866
WBGene00000038,29,69,98
WBGene00000039,17,822,839
WBGene00000040,32,3193,3225
WBGene00000041,480,12783,13263
WBGene00000042,24,99,123
WBGene00000043,25,52,77
WBGene00000044,22,61,83
WBGene00000045,16,10,26
WBGene00000046,39,55,94
WBGene00000047,138,617,755
WBGene00000048,6,39,45
WBGene00000049,6,9,15
WBGene00000050,4,29,33
WBGene00000051,25,139,164
WBGene00000053,17,29,46
WBGene00000054,41,263,304
WBGene00000055,7,179,186
WBGene00000056,21,84,105
WBGene00000057,60,60,120
WBGene00000058,72,144,216
WBGene00000059,17,62,79
WBGene00000060,10,37,47
WBGene00000061,24,61,85
WBGene00000062,31,47,78
WBGene00000063,423,98149,98572
WBGene00000064,322,10380,10702
WBGene00000065,430,94551,94981
WBGene00000066,863,120996,121859
WBGene00000067,50,1196,1246
WBGene00000068,1226,1007,2233
WBGene00000069,25,88,113
WBGene00000070,200,1141,1341
WBGene00000071,27,120,147
WBGene00000072,70,433,503
WBGene00000073,64,323,387
WBGene00000074,96,351,447
WBGene00000075,19,85,104
WBGene00000079,148,2317,2465
WBGene00000080,2,156,158
WBGene00000081,30,265,295
WBGene00000082,31,38,69
WBGene00000083,387,2133,2520
WBGene00000084,21,26,47
WBGene00000085,47,202,249
WBGene00000086,87,401,488
WBGene00000088,45,138,183
WBGene00000089,67,1016,1083
WBGene00000090,59,543,602
WBGene00000092,176,1349,1525
WBGene00000093,46,499,545
WBGene00000094,56,458,514
WBGene00000095,121,1138,1259
WBGene00000096,100,277,377
WBGene00000097,81,817,898
WBGene00000098,60,764,824
WBGene00000099,78,615,693
WBGene00000100,311,2531,2842
WBGene00000101,110,1097,1207
WBGene00000102,259,3049,3308
WBGene00000103,75,868,943
WBGene00000105,62,2007,2069
WBGene00000106,51,888,939
WBGene00000107,615,4659,5274
WBGene00000108,4,2,6
WBGene00000109,20,501,521
WBGene00000110,85,1329,1414
WBGene00000111,79,309,388
WBGene00000112,294,2758,3052
WBGene00000113,180,382,562
WBGene00000114,268,36142,36410
WBGene00000115,29,1059,1088
WBGene00000116,97,410,507
