gene_id,total_unsp,total_sp,total
WBGene00000001,28,431,459
WBGene00000002,45,269,314
WBGene00000003,5,171,176
WBGene00000004,126,790,916
WBGene00000005,29,69,98
WBGene00000006,316,2207,2523
WBGene00000007,34,45,79
WBGene00000008,40,14,54
WBGene00000009,41,37,78
WBGene00000010,55,179,234
WBGene00000012,15,41,56
WBGene00000013,0,70,70
WBGene00000014,2,6,8
WBGene00000015,2,45,47
WBGene00000016,124,4448,4572
WBGene00000017,15,2504,2519
WBGene00000018,316,751,1067
WBGene00000019,81,22,103
WBGene00000020,308,510,818
WBGene00000022,20,296,316
WBGene00000023,51,33,84
WBGene00000024,0,16,16
WBGene00000025,0,13,13
WBGene00000027,1,4,5
WBGene00000028,0,0,0
WBGene00000029,0,1,1
WBGene00000030,0,0,0
WBGene00000031,240,65,305
WBGene00000032,0,1,1
WBGene00000033,11,13,24
WBGene00000034,8,49,57
WBGene00000035,769,590,1359
WBGene00000036,116,350,466
WBGene00000037,82,983,1065
WBGene00000038,89,155,244
WBGene00000039,26,384,410
WBGene00000040,37,3050,3087
WBGene00000041,423,9530,9953
WBGene00000042,105,127,232
WBGene00000043,48,87,135
WBGene00000044,82,58,140
WBGene00000045,31,28,59
WBGene00000046,157,170,327
WBGene00000047,97,290,387
WBGene00000048,32,71,103
WBGene00000049,30,38,68
WBGene00000050,41,88,129
WBGene00000051,56,128,184
WBGene00000053,30,30,60
WBGene00000054,36,135,171
WBGene00000055,26,127,153
WBGene00000056,47,98,145
WBGene00000057,107,89,196
WBGene00000058,143,165,308
WBGene00000059,55,72,127
WBGene00000060,29,25,54
WBGene00000061,63,258,321
WBGene00000062,176,79,255
WBGene00000063,562,62537,63099
WBGene00000064,433,11045,11478
WBGene00000065,659,66115,66774
WBGene00000066,1084,100575,101659
WBGene00000067,324,5906,6230
WBGene00000068,2098,679,2777
WBGene00000069,59,199,258
WBGene00000070,319,885,1204
WBGene00000071,76,210,286
WBGene00000072,140,514,654
WBGene00000073,65,349,414
WBGene00000074,176,316,492
WBGene00000075,39,143,182
WBGene00000079,164,2213,2377
WBGene00000080,5,143,148
WBGene00000081,97,754,851
WBGene00000082,122,104,226
WBGene00000083,245,954,1199
WBGene00000084,80,58,138
WBGene00000085,87,168,255
WBGene00000086,117,453,570
WBGene00000088,86,231,317
WBGene00000089,116,1294,1410
WBGene00000090,87,578,665
WBGene00000092,283,1333,1616
WBGene00000093,35,296,331
WBGene00000094,89,502,591
WBGene00000095,129,1186,1315
WBGene00000096,302,336,638
WBGene00000097,181,1976,2157
WBGene00000098,69,542,611
WBGene00000099,87,499,586
WBGene00000100,733,2941,3674
WBGene00000101,130,1080,1210
WBGene00000102,273,2506,2779
WBGene00000103,139,1370,1509
WBGene00000105,88,1331,1419
WBGene00000106,51,746,797
WBGene00000107,826,4816,5642
WBGene00000108,36,2,38
WBGene00000109,22,398,420
WBGene00000110,69,1391,1460
WBGene00000111,104,233,337
WBGene00000112,275,3192,3467
WBGene00000113,157,272,429
WBGene00000114,268,24095,24363
WBGene00000115,36,1001,1037
WBGene00000116,100,317,417
WBGene00000117,233,428,661
WBGene00000118,10,4497,4507
WBGene00000120,4,1413,1417
WBGene00000121,65,1361,1426
WBGene00000122,84,5909,5993
WBGene00000123,161,2596,2757
WBGene00000133,37,22,59
WBGene00000134,68,101,169
WBGene00000135,70,123,193
WBGene00000136,66,328,394
WBGene00000137,79,269,348
WBGene00000138,85,253,338
WBGene00000139,95,42,137
WBGene00000140,607,23479,24086
WBGene00000142,51,518,569
WBGene00000143,124,479,603
WBGene00000144,85,342,427
WBGene00000145,11,249,260
WBGene00000146,267,1156,1423
WBGene00000147,6,335,341
WBGene00000148,93,682,775
WBGene00000149,275,5763,6038
WBGene00000150,151,615,766
WBGene00000151,17,410,427
WBGene00000155,24,684,708
WBGene00000156,58,497,555
WBGene00000157,89,1453,1542
WBGene00000158,561,1248,1809
WBGene00000159,35,1283,1318
WBGene00000160,461,1549,2010
WBGene00000161,131,1359,1490
WBGene00000162,356,1227,1583
WBGene00000163,62,1161,1223
WBGene00000164,130,536,666
WBGene00000165,36,513,549
WBGene00000166,30,198,228
WBGene00000168,330,165,495
WBGene00000169,90,880,970
WBGene00000170,1467,12270,13737
WBGene00000171,64,7,71
WBGene00000172,126,506,632
WBGene00000173,13,67,80
WBGene00000174,38,57,95
WBGene00000175,1704,15716,17420
WBGene00000176,43,317,360
WBGene00000177,280,675,955
WBGene00000178,185,1201,1386
WBGene00000179,274,939,1213
WBGene00000180,66,587,653
WBGene00000181,604,2624,3228
WBGene00000182,215,6352,6567
WBGene00000183,205,6027,6232
WBGene00000184,200,1124,1324
WBGene00000185,26,50,76
WBGene00000186,336,1869,2205
WBGene00000187,8,663,671
WBGene00000188,0,201,201
WBGene00000189,17,307,324
WBGene00000190,48,129,177
WBGene00000192,17,1347,1364
WBGene00000193,63,67,130
WBGene00000195,100,565,665
WBGene00000196,129,824,953
WBGene00000197,41,2425,2466
WBGene00000198,241,1650,1891
WBGene00000199,245,1958,2203
WBGene00000200,86,1038,1124
WBGene00000201,779,2641,3420
WBGene00000202,3,218,221
WBGene00000203,20,1230,1250
WBGene00000204,67,1426,1493
WBGene00000205,12,960,972
WBGene00000206,103,1107,1210
WBGene00000207,1271,21892,23163
WBGene00000208,644,503,1147
WBGene00000209,1425,9188,10613
WBGene00000210,4849,25689,30538
WBGene00000211,149,330,479
WBGene00000212,72,161,233
WBGene00000213,39,132,171
WBGene00000214,0,20758,20758
WBGene00000215,331,2091,2422
WBGene00000216,50,7606,7656
WBGene00000217,1634,10019,11653
WBGene00000218,124,5480,5604
WBGene00000219,20,6476,6496
WBGene00000220,49,336,385
WBGene00000221,1100,6121,7221
WBGene00000222,88,494,582
WBGene00000223,471,4180,4651
WBGene00000224,324,2511,2835
WBGene00000225,2584,1760,4344
WBGene00000226,155,816,971
WBGene00000227,402,763,1165
WBGene00000228,417,7819,8236
WBGene00000229,2711,57022,59733
WBGene00000230,290,23382,23672
WBGene00000231,224,1404,1628
WBGene00000232,234,764,998
WBGene00000233,272,573,845
WBGene00000235,11,3842,3853
WBGene00000236,325,1475,1800
WBGene00000237,142,398,540
WBGene00000238,79,286,365
WBGene00000239,80,340,420
WBGene00000240,408,1406,1814
WBGene00000241,45,63,108
WBGene00000242,53,176,229
WBGene00000244,70,311,381
