gene_id,total_unsp,total_sp,total
WBGene00000001,16,776,792
WBGene00000002,33,752,785
WBGene00000003,4,473,477
WBGene00000004,172,1502,1674
WBGene00000005,3,7,10
WBGene00000006,258,2278,2536
WBGene00000007,8,42,50
WBGene00000008,22,6,28
WBGene00000009,12,34,46
WBGene00000010,29,325,354
WBGene00000012,16,31,47
WBGene00000013,0,191,191
WBGene00000014,3,2,5
WBGene00000015,1,45,46
WBGene00000016,9,623,632
WBGene00000017,10,3146,3156
WBGene00000018,290,1229,1519
WBGene00000019,18,8,26
WBGene00000020,150,404,554
WBGene00000022,7,119,126
WBGene00000023,8,21,29
WBGene00000024,0,11,11
WBGene00000025,0,3,3
WBGene00000027,0,2,2
WBGene00000028,0,0,0
WBGene00000029,0,2,2
WBGene00000030,0,0,0
WBGene00000031,46,186,232
WBGene00000032,0,0,0
WBGene00000033,1,16,17
WBGene00000034,3,41,44
WBGene00000035,809,870,1679
WBGene00000036,82,320,402
WBGene00000037,64,1277,1341
WBGene00000038,50,85,135
WBGene00000039,22,1078,1100
WBGene00000040,42,4481,4523
WBGene00000041,499,16475,16974
WBGene00000042,51,208,259
WBGene00000043,26,108,134
WBGene00000044,46,125,171
WBGene00000045,6,22,28
WBGene00000046,53,88,141
WBGene00000047,190,847,1037
WBGene00000048,20,71,91
WBGene00000049,4,5,9
WBGene00000050,5,28,33
WBGene00000051,43,218,261
WBGene00000053,20,35,55
WBGene00000054,47,372,419
WBGene00000055,11,264,275
WBGene00000056,22,91,113
WBGene00000057,78,132,210
WBGene00000058,111,226,337
WBGene00000059,20,74,94
WBGene00000060,13,53,66
WBGene00000061,15,35,50
WBGene00000062,63,79,142
WBGene00000063,450,136978,137428
WBGene00000064,286,15030,15316
WBGene00000065,483,142208,142691
WBGene00000066,1056,190530,191586
WBGene00000067,88,2261,2349
WBGene00000068,1535,1436,2971
WBGene00000069,28,164,192
WBGene00000070,301,1490,1791
WBGene00000071,31,158,189
WBGene00000072,96,855,951
WBGene00000073,67,498,565
WBGene00000074,138,669,807
WBGene00000075,19,156,175
WBGene00000079,220,3900,4120
WBGene00000080,5,259,264
WBGene00000081,49,330,379
WBGene00000082,54,106,160
WBGene00000083,370,2693,3063
WBGene00000084,37,35,72
WBGene00000085,44,423,467
WBGene00000086,90,806,896
WBGene00000088,58,159,217
WBGene00000089,98,2126,2224
WBGene00000090,84,870,954
WBGene00000092,268,2499,2767
WBGene00000093,46,743,789
WBGene00000094,88,892,980
WBGene00000095,157,2181,2338
WBGene00000096,321,877,1198
WBGene00000097,113,1802,1915
WBGene00000098,68,1200,1268
WBGene00000099,67,1121,1188
WBGene00000100,402,3754,4156
WBGene00000101,140,1757,1897
WBGene00000102,419,5062,5481
WBGene00000103,116,1621,1737
WBGene00000105,108,2945,3053
WBGene00000106,82,1469,1551
WBGene00000107,610,6591,7201
WBGene00000108,9,3,12
WBGene00000109,17,850,867
WBGene00000110,111,2243,2354
WBGene00000111,91,459,550
WBGene00000112,346,3948,4294
WBGene00000113,227,520,747
WBGene00000114,271,50529,50800
WBGene00000115,49,1765,1814
WBGene00000116,114,703,817
WBGene00000117,271,529,800
WBGene00000118,18,9120,9138
WBGene00000120,6,3054,3060
WBGene00000121,43,2503,2546
WBGene00000122,73,8686,8759
WBGene00000123,248,4900,5148
WBGene00000133,2,20,22
WBGene00000134,61,142,203
WBGene00000135,15,138,153
WBGene00000136,14,71,85
WBGene00000137,85,467,552
WBGene00000138,59,312,371
WBGene00000139,58,45,103
WBGene00000140,689,40487,41176
WBGene00000142,46,1009,1055
WBGene00000143,115,774,889
WBGene00000144,56,449,505
WBGene00000145,1,527,528
WBGene00000146,274,2488,2762
WBGene00000147,9,578,587
WBGene00000148,109,1086,1195
WBGene00000149,384,10037,10421
WBGene00000150,94,972,1066
WBGene00000151,23,842,865
WBGene00000155,20,892,912
WBGene00000156,65,959,1024
WBGene00000157,98,2623,2721
WBGene00000158,447,2205,2652
WBGene00000159,38,3134,3172
WBGene00000160,538,2292,2830
WBGene00000161,134,2239,2373
WBGene00000162,420,1992,2412
WBGene00000163,93,2159,2252
WBGene00000164,147,1091,1238
WBGene00000165,40,1255,1295
WBGene00000166,30,273,303
WBGene00000168,396,263,659
WBGene00000169,12,259,271
WBGene00000170,1926,24271,26197
WBGene00000171,10,1,11
WBGene00000172,41,153,194
WBGene00000173,9,70,79
WBGene00000174,8,58,66
WBGene00000175,2042,31866,33908
WBGene00000176,20,1606,1626
WBGene00000177,253,1524,1777
WBGene00000178,209,2011,2220
WBGene00000179,339,1962,2301
WBGene00000180,53,770,823
WBGene00000181,860,5338,6198
WBGene00000182,196,13798,13994
WBGene00000183,259,16076,16335
WBGene00000184,153,1484,1637
WBGene00000185,5,23,28
WBGene00000186,524,4312,4836
WBGene00000187,6,1384,1390
WBGene00000188,0,190,190
WBGene00000189,13,468,481
WBGene00000190,32,124,156
WBGene00000192,24,2271,2295
WBGene00000193,13,99,112
WBGene00000195,80,1242,1322
WBGene00000196,154,1341,1495
WBGene00000197,53,3880,3933
WBGene00000198,170,1985,2155
WBGene00000199,267,3383,3650
WBGene00000200,94,2432,2526
WBGene00000201,832,4070,4902
WBGene00000202,7,359,366
WBGene00000203,17,2315,2332
WBGene00000204,78,2590,2668
WBGene00000205,13,1798,1811
WBGene00000206,112,2268,2380
WBGene00000207,1380,41666,43046
WBGene00000208,390,842,1232
WBGene00000209,1317,15679,16996
WBGene00000210,4184,43157,47341
WBGene00000211,162,564,726
WBGene00000212,18,67,85
WBGene00000213,15,40,55
WBGene00000214,0,6418,6418
WBGene00000215,75,720,795
WBGene00000216,14,2194,2208
WBGene00000217,1715,18529,20244
WBGene00000218,28,1797,1825
WBGene00000219,3,1865,1868
WBGene00000220,48,822,870
WBGene00000221,1112,9738,10850
WBGene00000222,105,1258,1363
WBGene00000223,667,5129,5796
WBGene00000224,293,3956,4249
WBGene00000225,4614,2741,7355
WBGene00000226,183,1637,1820
WBGene00000227,208,1047,1255
WBGene00000228,630,13975,14605
WBGene00000229,2663,98816,101479
WBGene00000230,266,38953,39219
WBGene00000231,277,2246,2523
WBGene00000232,182,1252,1434
WBGene00000233,144,512,656
WBGene00000235,7,8081,8088
WBGene00000236,246,1826,2072
WBGene00000237,102,560,662
WBGene00000238,68,631,699
WBGene00000239,98,510,608
WBGene00000240,408,2158,2566
WBGene00000241,25,105,130
WBGene00000242,38,282,320
WBGene00000244,51,288,339
WBGene00000245,278,5545,5823
WBGene00000246,36,82,118
WBGene00000247,64,1412,1476
WBGene00000248,377,3906,4283
WBGene00000249,7,2114,2121
WBGene00000250,11,189,200
WBGene00000251,1,6,7
WBGene00000252,0,4,4
WBGene00000253,60,348,408
WBGene00000254,506,1798,2304
WBGene00000255,46,26,72
WBGene00000256,0,25,25
WBGene00000257,83,1497,1580
WBGene00000259,89,897,986
WBGene00000262,16,695,711
WBGene00000263,5188,48360,53548
WBGene00000264,220,527,747
WBGene00000265,121,501,622
WBGene00000266,277,3811,4088
WBGene00000267,33,155,188
WBGene00000268,476,1014,1490
WBGene00000269,130,747,877
WBGene00000270,24,361,385
WBGene00000271,35,742,777
WBGene00000272,23,249,272
WBGene00000273,119,3540,3659
WBGene00000274,228,907,1135
WBGene00000275,36,1352,1388
WBGene00000276,181,4632,4813
WBGene00000277,1683,16951,18634
WBGene00000279,15,273,288
WBGene00000280,62,419,481
WBGene00000281,52,3339,3391
WBGene00000282,274,3533,3807
WBGene00000283,109,2450,2559
WBGene00000284,11,1003,1014
WBGene00000285,280,4551,4831
WBGene00000286,888,9474,10362
WBGene00000287,39,96,135
WBGene00000288,163,2101,2264
WBGene00000289,334,2074,2408
WBGene00000292,378,6190,6568
WBGene00000293,333,8492,8825
WBGene00000294,217,4843,5060
WBGene00000295,59,472,531
WBGene00000296,68,151,219
WBGene00000298,11,706,717
WBGene00000301,9,11458,11467
WBGene00000302,8,57,65
WBGene00000366,235,4802,5037
WBGene00000367,408,1463,1871
WBGene00000368,294,3132,3426
WBGene00000369,5,2128,2133
WBGene00000370,3882,16054,19936
WBGene00000371,3832,59114,62946
WBGene00000372,3,20,23
WBGene00000373,67,576,643
WBGene00000375,32,243,275
WBGene00000376,405,1448,1853
WBGene00000377,130,14678,14808
WBGene00000378,34,12801,12835
WBGene00000379,1060,15939,16999
WBGene00000380,849,27437,28286
WBGene00000381,121,11911,12032
WBGene00000382,21,786,807
WBGene00000383,160,3167,3327
WBGene00000386,19,299,318
WBGene00000387,802,777,1579
WBGene00000388,2,14,16
WBGene00000389,0,0,0
WBGene00000390,152,5701,5853
WBGene00000391,97,597,694
WBGene00000392,0,54,54
WBGene00000393,50,683,733
WBGene00000395,55,420,475
WBGene00000396,101,2903,3004
WBGene00000397,5,41,46
WBGene00000399,37,586,623
WBGene00000401,25,65,90
WBGene00000402,153,498,651
WBGene00000403,675,9944,10619
WBGene00000405,82,3738,3820
WBGene00000406,35,381,416
WBGene00000407,204,841,1045
WBGene00000408,392,1362,1754
WBGene00000409,118,1160,1278
WBGene00000410,191,1339,1530
WBGene00000411,33,2809,2842
WBGene00000412,21,179,200
WBGene00000413,65,669,734
WBGene00000414,259,7175,7434
WBGene00000415,1303,1694,2997
WBGene00000416,33,1105,1138
WBGene00000417,96,99,195
WBGene00000418,25,436,461
WBGene00000419,241,1592,1833
WBGene00000420,65,882,947
WBGene00000421,275,1732,2007
WBGene00000422,17,84,101
WBGene00000423,57,731,788
WBGene00000424,104,1404,1508
WBGene00000425,12,196,208
WBGene00000426,275,1030,1305
WBGene00000427,5,10,15
WBGene00000428,1,24,25
WBGene00000429,53,244,297
WBGene00000430,22,242,264
WBGene00000431,28,693,721
WBGene00000432,2,2,4
WBGene00000433,85,531,616
WBGene00000434,14,120,134
WBGene00000435,8,120,128
WBGene00000436,30,145,175
WBGene00000437,112,2053,2165
WBGene00000438,30,46,76
WBGene00000439,32,362,394
WBGene00000440,4,98,102
WBGene00000441,522,1281,1803
WBGene00000442,14,186,200
WBGene00000443,181,4647,4828
WBGene00000444,7,251,258
WBGene00000445,19,142,161
WBGene00000446,21,541,562
WBGene00000447,45,197,242
WBGene00000448,136,1766,1902
WBGene00000449,173,599,772
WBGene00000450,5,11,16
WBGene00000451,5,186,191
WBGene00000452,9,780,789
WBGene00000453,58,1043,1101
WBGene00000454,19,413,432
WBGene00000455,98,1595,1693
WBGene00000457,2,49,51
WBGene00000458,83,753,836
WBGene00000459,103,1638,1741
WBGene00000460,9,206,215
WBGene00000461,10,33,43
WBGene00000462,10,343,353
WBGene00000463,83,820,903
WBGene00000464,1108,3131,4239
WBGene00000465,2,78,80
WBGene00000466,305,1955,2260
WBGene00000467,54,397,451
WBGene00000468,136,167,303
WBGene00000469,16,57,73
WBGene00000472,116,39994,40110
WBGene00000473,8,823,831
WBGene00000474,6,851,857
WBGene00000475,111,29030,29141
WBGene00000476,119,774,893
WBGene00000477,43,191,234
WBGene00000478,62,485,547
WBGene00000479,45,2746,2791
WBGene00000480,135,1285,1420
WBGene00000481,50,509,559
WBGene00000482,183,4542,4725
WBGene00000483,13,9,22
WBGene00000484,92,193,285
WBGene00000485,106,907,1013
WBGene00000487,38,22,60
WBGene00000488,111,233,344
WBGene00000490,37,322,359
WBGene00000491,172,622,794
WBGene00000492,242,417,659
WBGene00000493,50,268,318
WBGene00000496,39,155,194
WBGene00000497,28,78,106
WBGene00000498,5,721,726
WBGene00000499,45,54,99
WBGene00000500,62,1289,1351
WBGene00000501,57,564,621
WBGene00000502,58,2383,2441
WBGene00000503,0,8,8
WBGene00000506,228,1091,1319
WBGene00000507,107,729,836
WBGene00000508,50,1310,1360
WBGene00000509,212,1637,1849
WBGene00000510,232,1948,2180
WBGene00000511,95,392,487
WBGene00000512,350,422,772
WBGene00000513,14,198,212
WBGene00000514,91,550,641
WBGene00000515,45,216,261
WBGene00000516,0,3876,3876
WBGene00000517,80,419,499
WBGene00000518,1163,1190,2353
WBGene00000519,423,561,984
WBGene00000520,70,651,721
WBGene00000521,4,49,53
WBGene00000522,52,170,222
WBGene00000523,61,464,525
WBGene00000524,58,848,906
WBGene00000525,12,255,267
WBGene00000526,12,469,481
WBGene00000527,268,1209,1477
WBGene00000528,169,852,1021
WBGene00000529,148,347,495
WBGene00000530,28,70,98
WBGene00000531,38,69,107
WBGene00000532,33,1308,1341
WBGene00000533,12,278,290
WBGene00000534,49,12417,12466
WBGene00000535,262,6197,6459
WBGene00000536,74,555,629
WBGene00000537,14,354,368
WBGene00000539,12,34,46
WBGene00000540,64,281,345
WBGene00000541,47,53,100
WBGene00000542,390,4782,5172
WBGene00000543,110,579,689
WBGene00000544,53,6,59
WBGene00000545,678,2400,3078
WBGene00000546,9,7,16
WBGene00000547,201,1092,1293
WBGene00000548,151,2619,2770
WBGene00000549,385,1607,1992
WBGene00000550,84,9800,9884
WBGene00000551,0,0,0
WBGene00000552,1824,33711,35535
WBGene00000553,1118,1630,2748
WBGene00000554,674,7705,8379
WBGene00000555,0,0,0
WBGene00000556,66,594,660
WBGene00000557,195,5108,5303
WBGene00000558,244,3945,4189
WBGene00000559,0,0,0
WBGene00000560,3,1,4
WBGene00000561,8,746,754
WBGene00000562,59,249,308
WBGene00000563,19,11,30
WBGene00000564,259,943,1202
WBGene00000565,416,457,873
WBGene00000566,531,1652,2183
WBGene00000567,207,5000,5207
WBGene00000583,316,3118,3434
WBGene00000584,13,284,297
WBGene00000585,125,1600,1725
WBGene00000591,207,1236,1443
WBGene00000592,16,196,212
WBGene00000593,0,14,14
WBGene00000594,0,4981,4981
WBGene00000596,0,0,0
WBGene00000597,8,75,83
WBGene00000598,0,10,10
WBGene00000599,39,3506,3545
WBGene00000601,0,135,135
WBGene00000602,0,76,76
WBGene00000603,1,394,395
